EV_D0	EV_D1	EV_D3	EV_D5	EV_D7	EV_D9	EV_D11	EV_D12	EV_D14	EV_D16	EV_D18	EV_D20	EV_D22	EV_D24	EV_D26	EV_D28	EV_D30
"x14"	0.262574176297719	0.39984510373813	-0.234402297859967	-0.351269446871836	0.202710963266917	-0.116460847368398	-0.417500122189416	-1.41458366233161	-0.728588632328346	-0.296257094834153	0.30606270550133	0.801487224301124	0.698399978867629	-1.64307638930147	0.941900393643451	0.801729049791274	0.787428897677636
"x15"	-0.385144015307525	-0.435261265484671	-0.352557669245898	-0.321393299721516	-0.247010934200925	0.145151632931457	0.162956624387144	-0.476916703557407	0.0797659986986011	0.369598945382273	0.131134667143516	0.0685784248527264	-0.227697125458928	2.22113110711508	-0.44587040000385	-0.0400708623143621	-0.246395125215709
"x16"	0.0509549894583375	0.127745027767086	-0.385988165512628	-0.365300350535195	-0.0703479612342139	-0.228935628859719	-0.559613247592961	-1.53906614697293	-0.731695633373119	-0.377663696615639	-0.00973978189436939	2.12090894572068	0.247671944417238	0.277557473870828	0.391065860861276	0.715054839875044	0.337391530620285
"x17"	0.175827759117405	0.00046438540502621	0.173889195521548	-0.140870115431376	0.0111027532312787	-2.19186591547374	0.0946738767440519	0.394064254368522	0.386099135296548	0.289066272986817	0.274326108496414	0.0131721690319422	-0.0406017191531075	0.248937788755726	0.338597205464383	-0.163475861392615	0.136592707031162
"x18"	0.36041429646753	0.267546429750518	0.0981172778184229	0.0417455859405469	0.0640748468119985	-0.290196903696294	0.0706945004411985	-0.165717407726319	-0.130483614193089	-0.0940583854427506	-0.18958443931263	-0.551512812999107	-0.584357102487463	1.41692057868837	-0.881701806339571	1.35380728898561	-0.785708332706972
"x19"	0.178059794433538	1.70038190187871	-0.435311766482918	-0.489398352859956	-0.0877311842564533	-0.350339318273271	-0.556081986376684	-1.64504717095636	-0.776778437641462	-0.443925011712682	0.111447302965458	0.561070016416872	0.384375839805276	0.300124353727472	0.532450832897496	0.582072761046854	0.434630425388098
"x20"	-0.0491491424984546	-0.18154962875423	-0.0706559858207399	-0.199994764138989	-0.287670282056168	-0.123738670857255	0.177487413670997	-0.141120382137437	0.178548205061477	0.184181040764358	0.851712094988118	-0.675596357684797	1.11340499091736	1.37601143790253	-0.718252306975244	-0.515915453153354	-0.917702209228192
"x21"	0.459245035396991	0.299156056754356	0.479931009728741	0.538619041229247	0.419220083468223	0.329780742582006	0.354554447144973	0.310138259423095	0.439550099769627	0.500132609614694	0.295763857216092	-0.0118079917913258	-1.69346474279532	0.519424848059948	-1.77302471231058	-0.710128708217194	-0.757089935273572
"x22"	1.18034435418448	1.01596778682435	1.09919792156604	0.79474682875102	0.648493667735721	0.109798932278227	-0.364855753911233	-0.748029955372898	-0.402975407758485	-0.273112132940662	-0.335460690388759	-0.0927760350232308	-0.611514592503131	-0.643060646430064	-0.526256153944449	-0.478610736942435	-0.371897386124472
"x23"	0.0226222635849453	-0.175647673790583	-0.117022093123339	-0.196718485028872	-0.211361064895084	-0.120333444740785	0.213994938790842	-0.179888757176944	0.20387611366419	0.336748548049786	0.335342431818044	0.856915163018453	-0.708598281244302	-0.825589835949318	1.8066687661835	-0.540986371646393	-0.700022217514127
"x24"	0.313128224609924	0.240131792738067	-0.188237870280785	-0.127969954353269	0.15266536313809	-0.286037033983016	-0.216275113668512	-0.853273077762755	-0.479130778471249	-0.261477732307278	0.727077077671535	0.953152083749816	0.0711054042357415	-1.1436210478226	-1.0686566856718	1.04518671957144	1.12223262860662
"x25"	-0.347283284198852	-0.573667710082196	-0.119910222359136	-0.0203817481933509	-0.165817431760252	0.387234818518661	0.522405996657969	0.384121389531678	0.745864712773775	0.794922489710258	0.598584260710789	0.368268118606277	0.211716312988824	0.34230588984467	-1.81149484719912	-1.36847701181431	0.0516082662643161
"x26"	0.53673260584103	0.281910668435251	0.480596020912107	0.468699593642836	0.382877525610029	-0.0372462386914615	0.23590841285704	0.319708393489701	0.391011322621993	0.414310960540578	0.246463429066605	0.0342312099440548	-0.127646475620485	0.00455107781359951	0.180724916117853	-1.6965985625632	-2.11623486001753
"x27"	0.245855137309188	0.284650096485452	-0.0973697667236719	-0.242418403651839	0.157009212430185	-0.189377899660103	-0.212717461324993	-0.886958775373697	-0.463964956392207	-0.46276959104016	0.565322514471551	0.469008826129166	0.780890370817684	1.15055907127028	-1.18009626422708	1.04375587927443	-0.961377989794194
"x28"	0.344700183406462	0.28611837989357	0.0187642741204109	-0.0784362729889863	0.513319304182972	-0.367293181448201	-0.0640964689708276	-0.531126205633505	-0.280308689005001	-0.375477563431955	0.902427568632489	1.13501516285157	1.21214590953291	-0.749311713997017	-0.796712143826093	-0.436818355943862	-0.732910187374925
"x29"	0.493763748857234	0.378987936295997	0.524673844823305	0.424053825139039	0.404979952641726	0.0268665193981855	0.298857107687915	0.149647619691564	0.129800960694657	-0.0573390291372396	-0.42549297254103	-0.998476129114769	0.145741172205918	1.36226964403952	-1.14455010711911	-0.734969458636602	-0.978814634926325
"x30"	-0.0734889855415913	-0.180118717005447	-0.0657767350216066	-0.0579628271892567	-0.651116705668416	-0.536928463955064	0.623644842644588	0.519888604313707	0.857457745135052	0.806335902655768	0.865351408935565	-0.438222312735669	1.0261615033074	-0.855868506633996	-0.803890600742969	-0.382288842501786	-0.6531773099963
"x31"	0.383547460834774	-0.218054098998668	0.520367481752811	0.439636989892443	0.422784830763235	0.178474939718868	0.585441770829289	0.49852886628446	0.582641276834444	0.614521699541436	0.340222825683839	-1.08836606720311	0.92158509581373	-0.998549403381557	-1.12094594548956	-0.958883610164096	-1.10295411271234
"x32"	-0.130879478556217	-0.277241971499048	-0.389850962309243	-0.46079761386971	-0.217775933046219	-0.237480652897481	-0.201402593121996	-0.551316022666872	-0.249964734053945	-0.151009519896848	0.15726637498469	0.127749922945236	0.0898650688032866	-0.128786058569421	0.071245028739099	0.14534866333272	2.40503048168196
"x33"	0.126692089866058	0.175151441224792	-0.266568530777981	-0.400285768091316	0.0847528410006721	-0.150671306400004	-0.357934924583118	-1.23957271076027	-0.609418502031943	-0.249933872125759	0.269139973057031	0.519307177512219	0.558616038991376	0.870066617463235	1.08709707851797	0.945091404968789	-1.36152904783176
"x34"	0.13268419392859	0.345845282273039	-0.47582274399436	-0.606477764341934	0.158134699667185	-0.15063554465478	-0.751583318400306	-2.20876331212472	-1.16897975831927	-0.452388595379458	0.219622288263668	0.79132779751526	0.684205942517235	0.722557918966032	0.981720631998466	1.02150302171683	0.757049260368523
"x35"	0.272476062198091	0.123507717231519	-0.0395138322582006	-0.0430362973384542	0.0909886308270958	-0.219620794482746	-0.0180294541157472	-0.598636413481433	-0.253390595825798	0.116263858273802	-0.721482235590131	0.910534555544171	1.08916931186143	1.29871617518014	-0.971740718297997	-0.20774594886055	-0.828460020865197
"x36"	-0.322836257391573	-0.472578375432139	-0.519378942448387	-0.594061876373613	-0.687065989618488	-0.835903896428691	0.169554112909495	0.249092432765331	0.469451659530714	0.445999503988054	0.300547364848147	1.03130762541866	0.452927238917736	0.421130188243415	-0.917074833590745	0.892349497039968	-0.0834594523778914
"x37"	0.596158604717692	0.323924947480432	0.672777171281273	0.583857492901469	0.416877238948648	-0.857234325862981	0.520481517108861	0.678664713367827	0.616013483237117	0.460479432452721	0.856474703258861	-0.809606494815014	-0.910036538961031	-0.972060068204164	-0.9640025890657	-0.269166954277328	-0.943602333568666
"x38"	0.324929866475523	0.239714141075064	-0.00389242559272388	0.0338637098562336	0.518453327349927	-0.169103985998833	0.0227399239678427	-0.506674776567994	-0.0936815917657074	0.0236036643743632	0.90224531568572	-0.754586811383359	0.902372772960466	-0.93353042123988	-0.965558713534286	1.23883631114232	-0.779730306804683
"x39"	0.512485324069272	0.235334908611748	0.531434806044563	0.476399770284776	0.361141713021575	0.00799995255319828	0.0566624386209503	0.307791995709271	0.381585284646336	0.384299477979324	0.212723664202371	-0.270427799503304	-0.168262812796325	-0.056238328919569	-0.10563605622798	-2.83415837743634	-0.033135960859837
"x40"	0.425406401568303	0.261846606244413	0.526672965684241	0.516983825895743	0.367437269577664	0.205358128032935	0.383275351773225	0.395366905676364	0.487682830657123	0.517359984304865	0.185041570146018	-0.065735212609785	0.266882095557628	-1.82379432975776	-1.85605551320713	-1.22130690296566	0.427578023421808
"x41"	0.541519489886762	0.463263243664438	0.582407997835137	0.486974116010617	0.468931654937501	-0.0117879648872303	0.322141086970013	0.402134912610802	0.329239928289853	0.410527177320296	0.020458768991931	-0.927182753422402	-1.15790381429612	-1.07168019432168	-1.11871875368773	-0.811777235918459	1.07145234001627
"x42"	0.692408861044617	0.464786382100838	0.630839931998228	0.649468175373294	0.529039892069024	0.286487737882287	0.154287719613824	0.266634364910746	0.350965787514812	0.396721609747089	0.209958681934387	-0.288075767317913	-0.0672468750893288	-0.0386537860773112	-2.2720672396502	-1.87480512354041	-0.0907503525139927
"x43"	-0.00623670647944321	0.118570511359082	0.04276096451795	0.0471759515669506	0.00036502568268216	0.258163931496777	0.373099089377711	0.193791058858978	0.383354458671913	0.451458577536538	0.251664138543079	0.479734746632321	0.20976940603751	-1.84284892602108	-1.96690069066118	0.445106742661079	0.560971720219145
"x44"	0.338870575690386	0.212107216380559	0.413755426707595	0.385259666324473	0.339522579295938	0.159456282597024	0.316377006187281	0.307813711568072	0.369265499144243	0.454488309417451	0.290228864153608	-0.0201701844570759	-0.102636179842965	-0.0706368139021274	-3.08800795680786	-0.270950561085432	-0.0347434413711742
