tracking_id	cell_D0	cell_D11	cell_D30
ENSG00000238009.2	2.3458	0.04670576666666667	0.11253066666666667
ENSG00000233750.3	1.8233300000000001	0.19987233333333332	0.35309133333333326
ENSG00000239906.1	0.20128433333333332	0.08975166666666667	0.155012
ENSG00000223972.4	0.024969599999999998	0.09501503333333333	0.1705747
ENSG00000227232.4	6.174943333333334	10.726783333333332	6.7522899999999995
ENSG00000237683.5	57.306099999999994	28.877266666666667	15.766266666666667
ENSG00000269981.1	27.153633333333335	5.094172045033333	6.4991442
ENSG00000239664.2	0.41400433333333336	0.07025183333333333	0.0491981
ENSG00000235146.2	0.32761233333333334	0.0076172	0.16530316666666664
ENSG00000241860.2	0.7028956666666667	1.0423863333333332	0.2966273333333333
ENSG00000236601.1	0.005001566666666666	0.022412333333333336	0.11713163333333332
ENSG00000228327.2	0.0046750333333333335	0.018064	0.041770433333333336
ENSG00000225880.4	0.2946543333333333	0.47745333333333334	0.32270499999999996
ENSG00000230368.2	0.26649233333333333	0.557392	0.6455496666666667
ENSG00000234711.1	0.08990298566	0.13271900277034335	0.18021274098666676
ENSG00000269308.1	0.336611	0.8585763333333333	1.0477346666666667
ENSG00000272438.1	0.6768213333333333	0.5009956666666667	1.1847693333333333
ENSG00000228794.4	0.6572326666666667	0.8469349999999999	0.868496
ENSG00000223764.2	1.1028676666666666	1.023842	2.419353333333333
ENSG00000187961.9	0.13841046666666665	0.07054143333333333	0.041703
ENSG00000187583.6	0.35781	1.0067273333333333	2.341416666666667
ENSG00000187642.5	0.5477876666666667	1.87966	4.950713333333334
ENSG00000272512.1	0.0164031	0.04008646666666666	2.37541
ENSG00000187634.6	0.019150043333333335	0.06062035333333333	0.0063113
ENSG00000268179.1	0.0021312699999999998	0.021170353333333333	0.04496733333333333
ENSG00000188976.6	0.0020848933333333336	0.016193700000000002	0.007713223333333334
ENSG00000224969.1	2.0370066666666666	1.2740466666666668	1.032815
ENSG00000187608.5	2.4576066666666665	1.1166853333333333	1.611502
ENSG00000217801.5	0.17478566666666664	8.910106666666666	14.133666666666665
ENSG00000188157.9	0.9883183333333333	0.6948333333333334	4.7902233333333335
ENSG00000237330.2	0.11460686666666665	5.491313333333333	2.799933333333333
ENSG00000237491.4	0.6130446666666667	0.9667246666666668	0.8737696666666667
ENSG00000177757.1	1.2523666666666669	1.50352	1.1675066666666665
ENSG00000230092.3	0.3301623333333334	0.20393733333333333	0.09299463333333334
ENSG00000269831.1	1.9952699999999999	2.55967	1.7746033333333333
ENSG00000240453.1	0.26639166666666664	0.29329500000000003	0.38182563333333336
ENSG00000223823.1	0.03684366666666667	0.10623330000000002	0.17807266666666666
